Event.Nr CDA.nSCR CDA.Latency CDA.AmpSum CDA.SCR CDA.ISCR CDA.PhasicMax CDA.Tonic TTP.nSCR TTP.Latency TTP.AmpSum Global.Mean Global.MaxDeflection Event.Name EmoId ExpId VideoId ParticipantId OverUnder Participant Sex Age Language RepId
83 0 NA 0 0.0015 0.0717 0.2246 2.1537 1 3.5 0.1031 2.1612 0.0077 13 fear Ver 1344 001m24ee o 1 m 24 ee 6
84 0 NA 0 0 0 0.0234 2.1769 0 NA 0 2.2456 0 10 sad Ver 1344 001m24ee o 1 m 24 ee 6
85 0 NA 0 0.004 0.19 0.1584 2.1824 0 NA 0 2.276 0.0254 16 happy Ov1 1344 001m24ee o 1 m 24 ee 1
86 1 3.687 0.0529 0.0059 0.2825 0.2911 2.1652 1 2.875 0.0751 2.174 0.0287 15 anger Ov1 1344 001m24ee o 1 m 24 ee 1
87 1 3.812 0.0683 0.0063 0.3013 0.2596 2.1602 1 1.375 0.0823 2.171 0.0326 18 neutral Ov1 1344 001m24ee o 1 m 24 ee 1
88 1 2.062 0.1108 0.0145 0.6961 0.3678 2.1808 0 NA 0 2.2405 0.1054 17 sad Ov1 1344 001m24ee o 1 m 24 ee 1
89 0 NA 0 0 0 0.0155 2.2133 0 NA 0 2.2228 2e-4 21 surprise Ov1 1344 001m24ee o 1 m 24 ee 1
90 1 3.938 0.0126 4e-4 0.021 0.0845 2.2672 1 2.813 0.0255 2.2761 0.0075 19 disgust Ov1 1344 001m24ee o 1 m 24 ee 1
91 0 NA 0 7e-4 0.0326 0.0392 2.3255 0 NA 0 2.327 0.0021 20 fear Ov1 1344 001m24ee o 1 m 24 ee 1
92 2 1.188 0.0416 0.0047 0.2246 0.2435 2.3224 0 NA 0 2.3427 0.0361 24 sad Ov2 1344 001m24ee o 1 m 24 ee 2
93 1 2.625 0.0139 0.0018 0.0854 0.0824 2.3898 0 NA 0 2.4983 0 28 surprise Ov2 1344 001m24ee o 1 m 24 ee 2
94 0 NA 0 0.0011 0.0543 0.2789 2.3938 0 NA 0 2.3995 0.0059 27 fear Ov2 1344 001m24ee o 1 m 24 ee 2
95 0 NA 0 0.0019 0.089 0.0456 2.3538 0 NA 0 2.3737 4e-4 23 happy Ov2 1344 001m24ee o 1 m 24 ee 2
